,rooms,cbd_distance,postcode,bedroom,bathroom,car,latitude,longitude,property_count,price,dist_to_coast,suburb_freq,seller_g_freq,council_area_freq,type_t,type_u,method_s_p,method_v_b,region_name_eastern_victoria,region_name_northern_metropolitan,region_name_northern_victoria,region_name_south_eastern_metropolitan,region_name_southern_metropolitan,region_name_western_metropolitan,region_name_western_victoria,parking_area_indoor,parking_area_outdoor_stall
1,3,13.5,3042.0,3.0,2.0,1.0,-37.718,144.878,3464.0,840000.0,155.9789655147731,102,2201,1233,True,False,False,False,False,False,False,False,False,True,False,False,False
2,2,3.3,3206.0,2.0,1.0,0.0,-37.8459,144.9555,3280.0,1275000.0,123.75029382217207,85,1606,762,False,False,False,False,False,False,False,False,True,False,False,False,False
3,2,3.3,3206.0,2.0,1.0,0.0,-37.845,144.9538,3280.0,1455000.0,123.86690431193232,85,65,762,False,False,False,False,False,False,False,False,True,False,False,True,False
5,4,6.4,3078.0,3.0,2.0,4.0,-37.7707,145.0318,2211.0,2000000.0,153.1055767594604,45,8,1783,False,False,False,False,False,True,False,False,False,False,False,False,False
6,3,6.4,3078.0,3.0,2.0,2.0,-37.7854,145.0325,2211.0,1110000.0,148.66932247172286,45,1947,1783,False,False,False,False,False,True,False,False,False,False,False,False,True
7,3,13.8,3018.0,3.0,2.0,1.0,-37.87,144.825,5301.0,520000.0,105.22256398554144,92,355,634,False,False,False,True,False,False,False,False,False,True,False,False,False
10,3,11.1,3025.0,3.0,1.0,2.0,-37.8291,144.835,5132.0,781000.0,118.1512730784621,79,329,634,False,False,False,False,False,False,False,False,False,True,False,False,False
13,2,6.3,3143.0,2.0,1.0,1.0,-37.8543,145.0262,4836.0,599000.0,127.48184847216632,113,1947,666,False,True,False,False,False,False,False,False,True,False,False,False,False
15,2,5.9,3032.0,3.0,1.0,2.0,-37.7756,144.9165,6567.0,455000.0,141.4692482641959,176,2201,1233,False,True,False,False,False,False,False,False,False,True,False,False,False
16,4,11.0,3147.0,4.0,3.0,2.0,-37.8669,145.0767,3052.0,2650000.0,128.22090625284787,75,968,1906,False,False,False,False,False,False,False,False,True,False,False,False,False
19,2,12.2,3147.0,2.0,1.0,1.0,-37.8693,145.1082,2894.0,995000.0,130.28491846973833,66,17,755,False,False,False,False,False,False,False,False,True,False,False,False,False
21,3,10.5,3034.0,3.0,1.0,1.0,-37.7677,144.8674,4502.0,850000.0,139.5774901069962,113,62,1233,False,False,False,False,False,False,False,False,False,True,False,False,False
22,3,10.5,3034.0,3.0,1.0,1.0,-37.7634,144.8611,4502.0,750000.0,140.34690641525378,113,62,1233,False,False,True,False,False,False,False,False,False,True,False,True,False
23,4,6.6,3183.0,3.0,2.0,1.0,-37.8668,144.9928,2952.0,1819000.0,120.88545836880697,38,235,762,False,False,False,False,False,False,False,False,True,False,False,False,False
25,2,9.7,3103.0,2.0,1.0,1.0,-37.8094,145.0807,5682.0,2100000.0,145.63234597426498,158,968,1906,False,False,False,False,False,False,False,False,True,False,False,False,True
26,4,9.7,3103.0,4.0,2.0,2.0,-37.811,145.0958,5682.0,1800000.0,146.47714334175177,158,968,1906,False,False,False,True,False,False,False,False,True,False,False,False,False
27,2,9.7,3103.0,2.0,1.0,1.0,-37.8128,145.0975,5682.0,1255000.0,146.0850540946817,158,314,1906,True,False,False,False,False,False,False,False,True,False,False,False,False
28,3,9.2,3104.0,3.0,2.0,2.0,-37.7966,145.1021,7809.0,1315000.0,151.38014644915881,231,1606,1906,True,False,False,False,False,False,False,False,True,False,False,False,False
29,3,9.2,3104.0,3.0,2.0,1.0,-37.7939,145.0789,7809.0,1500000.0,150.16081420766457,231,1947,1906,False,False,False,False,False,False,False,False,True,False,False,True,False
30,4,9.2,3104.0,4.0,4.0,3.0,-37.8014,145.0892,7809.0,3230000.0,148.79336793572924,231,1947,1906,False,False,False,False,False,False,False,False,True,False,False,False,False
31,2,9.2,3104.0,2.0,1.0,1.0,-37.7912,145.085,7809.0,1080000.0,151.51699750118433,231,1947,1906,False,False,False,False,False,False,False,False,True,False,False,False,False
34,2,13.0,3204.0,2.0,1.0,2.0,-37.9165,145.0259,6795.0,636000.0,109.45994640316621,207,1606,1209,False,True,False,False,False,False,False,False,True,False,False,True,False
35,2,13.0,3204.0,2.0,1.0,2.0,-37.925,145.046,6795.0,1275000.0,108.81020762447697,207,430,1209,False,False,False,False,False,False,False,False,True,False,False,False,False
36,3,13.0,3204.0,3.0,1.0,2.0,-37.9273,145.0479,6795.0,875000.0,108.32586396249515,207,1606,1209,False,True,False,False,False,False,False,False,True,False,False,False,False
38,3,13.0,3204.0,3.0,2.0,2.0,-37.9336,145.043,6795.0,895000.0,106.11716318976961,207,1171,1209,True,False,False,False,False,False,False,False,True,False,False,False,False
42,2,13.9,3165.0,2.0,1.0,2.0,-37.9305,145.0547,10969.0,1410000.0,108.01788022030266,353,1606,1209,False,False,False,False,False,False,False,False,True,False,False,True,False
45,3,13.9,3165.0,3.0,1.0,2.0,-37.9261,145.0566,10969.0,760000.0,109.42847962568432,353,1606,1209,True,False,False,False,False,False,False,False,True,False,False,False,True
46,2,13.9,3165.0,2.0,2.0,1.0,-37.9237,145.0763,10969.0,825000.0,111.83618917687865,353,1018,1209,False,False,False,False,False,False,False,False,True,False,False,False,False
47,4,13.1,3128.0,4.0,2.0,2.0,-37.8151,145.135,4605.0,1620000.0,148.68795498776748,72,1606,356,False,False,False,False,False,False,False,False,False,False,False,False,False
49,3,10.8,3019.0,3.0,2.0,4.0,-37.7824,144.8469,3589.0,870000.0,133.2741857031049,61,1856,988,False,False,False,False,False,False,False,False,False,True,False,True,False
50,2,10.8,3019.0,2.0,1.0,1.0,-37.7839,144.8524,3589.0,645000.0,133.3000706011488,61,1856,988,False,False,False,False,False,False,False,False,False,True,False,False,False
51,3,11.2,3186.0,3.0,2.0,2.0,-37.9159,145.0068,10579.0,1550000.0,107.95520209985393,247,1018,979,False,False,False,True,False,False,False,False,True,False,False,False,False
53,3,11.2,3186.0,3.0,1.0,2.0,-37.9038,145.0001,10579.0,1635000.0,110.82206673512823,247,1018,979,False,False,False,False,False,False,False,False,True,False,False,True,False
55,4,10.7,3187.0,4.0,2.0,2.0,-37.9205,145.0122,6938.0,1940000.0,107.12145193926548,201,1606,979,False,False,False,False,False,False,False,False,True,False,False,False,False
57,4,10.7,3187.0,4.0,2.0,2.0,-37.9187,145.007,6938.0,1850000.0,107.17653791888009,201,54,979,False,False,False,False,False,False,False,False,True,False,False,False,False
60,3,10.7,3187.0,3.0,1.0,1.0,-37.9317,145.0218,6938.0,930000.0,104.79372779449417,201,968,979,False,False,True,False,False,False,False,False,True,False,False,False,False
63,2,5.2,3056.0,2.0,1.0,2.0,-37.7593,144.9652,11918.0,428000.0,150.76223481479056,310,479,1346,False,True,False,False,False,True,False,False,False,False,False,False,False
64,2,5.2,3056.0,2.0,1.0,0.0,-37.7676,144.9665,11918.0,1026000.0,148.31876117845488,310,2201,1346,False,False,False,False,False,True,False,False,False,False,False,False,False
65,2,5.9,3055.0,2.0,1.0,1.0,-37.768,144.9408,7082.0,521500.0,145.9368454084526,147,37,1346,False,True,False,False,False,True,False,False,False,False,False,False,True
66,3,11.8,3105.0,3.0,1.0,2.0,-37.7599,145.0849,4480.0,851000.0,161.0992025076632,95,1947,623,False,True,False,False,False,False,False,False,False,False,False,False,False
67,4,11.8,3105.0,4.0,1.0,2.0,-37.7608,145.0862,4480.0,1300000.0,160.935571980856,95,1947,623,False,False,False,False,False,False,False,False,False,False,False,False,False
68,4,11.8,3105.0,3.0,2.0,2.0,-37.7628,145.0994,4480.0,1110000.0,161.47874907537738,95,1856,623,False,False,False,False,False,False,False,False,False,False,False,False,False
69,4,11.8,3105.0,4.0,2.0,2.0,-37.7657,145.0957,4480.0,1235000.0,160.2597634650512,95,1947,623,False,False,False,False,False,False,False,False,False,False,False,False,False
70,5,11.7,3125.0,4.0,3.0,2.0,-37.848,145.098,5678.0,1590000.0,135.64209192477315,111,1947,755,False,False,False,False,False,False,False,False,True,False,False,True,False
71,4,7.8,3124.0,4.0,2.0,1.0,-37.8286,145.0686,8920.0,2650000.0,138.8160022646508,198,1947,1906,False,False,False,False,False,False,False,False,True,False,False,False,False
72,3,7.8,3124.0,3.0,1.0,2.0,-37.8435,145.0695,8920.0,1615000.0,134.46955072379052,198,968,1906,True,False,False,False,False,False,False,False,True,False,False,False,False
74,4,7.8,3124.0,4.0,3.0,2.0,-37.8496,145.0869,8920.0,3225000.0,134.19540818321065,198,236,1906,False,False,False,False,False,False,False,False,True,False,False,False,False
75,4,9.0,3126.0,4.0,2.0,2.0,-37.8186,145.0706,3265.0,2950000.0,141.98109984870123,72,968,1906,False,False,False,False,False,False,False,False,True,False,False,False,False
77,3,3.2,3054.0,3.0,1.0,1.0,-37.7871,144.9766,3106.0,1330000.0,143.2392295228011,65,2201,1099,False,False,False,True,False,True,False,False,False,False,False,False,False
78,3,11.4,3163.0,3.0,1.0,2.0,-37.897,145.0623,7822.0,820000.0,118.2310798088389,171,1171,1209,False,True,False,False,False,False,False,False,True,False,False,True,False
