company_names,cars_names,engines,horsepower,total_speed,performance,cars_prices,fuel_types,seats,torque,engine_cc
Ford,KA+,1.2L Petrol,77.5,165.0,10.5,13500.0,Petrol,5.0,120.0,1200.0
Toyota,GR SUPRA,I4,382.0,250.0,4.1,53900.0,Petrol,2.0,500.0,2998.0
Toyota,TOYOTA 86,BOXER-4,205.0,226.0,6.4,27000.0,Petrol,2.0,205.0,1998.0
Toyota,TOYOTA  GR86,BOXER-4,228.0,226.0,5.6,30000.0,Petrol,4.0,250.0,2387.0
Toyota,TOYOTA LAND CRUISER,V8,381.0,220.0,6.7,85000.0,Diesel,7.0,500.0,5663.0
Toyota,TOYOTA SEQUOIA,V8,381.0,200.0,6.9,50000.0,Petrol,7.0,651.0,5663.0
Nissan,370Z,V6,332.0,250.0,4.7,30000.0,Petrol,2.0,366.0,3696.0
Nissan,Z PROTO,V6,400.0,290.0,4.1,40000.0,Petrol,2.0,475.0,2998.0
Nissan,ALTIMA,I4,188.0,225.0,7.3,25000.0,Petrol,5.0,380.0,2488.0
Nissan,MAXIMA,V6,300.0,240.0,5.8,35000.0,Petrol,5.0,354.0,3498.0
Nissan,SENTRA,I4,149.0,200.0,8.2,20000.0,Petrol,5.0,240.0,1998.0
Nissan,ROGUE,I4,201.0,200.0,7.5,28000.0,Petrol,5.0,270.0,2488.0
Nissan,PATHFINDER,V6,284.0,225.0,6.5,35000.0,Petrol,7.0,351.0,3498.0
Nissan,FRONTIER,V6,310.0,180.0,6.8,30000.0,Petrol,5.0,381.0,3799.0
Nissan,TITAN,V8,400.0,200.0,5.9,40000.0,Petrol,5.0,560.0,5598.0
Aston Martin,DBX,V8,542.0,291.0,4.5,189000.0,Petrol,5.0,700.0,3996.0
Mercedes,BENZ S-CLASS S 580,V8,496.0,250.0,4.4,116000.0,Petrol,5.0,700.0,3982.0
Mercedes,BENZ CLA 45 AMG,I4,382.0,250.0,4.1,53000.0,Petrol,5.0,500.0,1991.0
Mercedes,BENZ S-CLASS S 500,V6,429.0,250.0,4.9,109000.0,Petrol,5.0,700.0,2996.0
Mercedes,BENZ E-CLASS E 450 ,V6,362.0,250.0,5.2,62000.0,Petrol,5.0,500.0,2996.0
Mercedes,BENZ CLS 450,V6,362.0,250.0,5.2,70000.0,Petrol,5.0,500.0,2996.0
Mercedes,BENZ GT 53,V6,429.0,250.0,4.5,99000.0,Petrol,5.0,700.0,2996.0
Mercedes,BENZ GLE 450,V6,362.0,250.0,5.5,63000.0,Petrol,5.0,500.0,2996.0
Mercedes,BENZ A-CLASS A 45 S,I4,416.0,250.0,3.9,53000.0,Petrol,5.0,500.0,1991.0
